UserID,itemID,Rating
76561197970982479,10,1
doctr,10,1
corrupted_soul,10,1
WeiEDKrSat,10,1
death-hunter,10,3
Fr0stedLine,10,1
76561198100701221,10,1
diego9031,10,1
jarrodtrim,10,1
76561198078738103,10,1
UTNerd24,10,1
76561198138053270,10,1
AppaTheSwagBison,10,1
therealmorty,10,1
sergarino,10,1
xfluttersx,10,1
76561197990792016,10,3
AVATAR715,10,1
Nfkted_CS,10,2
76561197994493402,10,1
xoFushiox,10,2
Myther43,10,1
ohnospaghet,10,1
BURNINGchicken3,10,1
EizanAratoFujimaki,10,1
2xDelorean,10,1
washington_,10,1
76561198051258119,10,1
76561198065771371,10,1
CobRazor,10,1
76561198062876401,10,1
76561198011661078,10,1
76561198069713121,10,1
1337lolroflmao,10,1
IAA_Recon_Dropbear,10,1
76561198060039459,10,1
76561198060808273,10,1
76561198003688205,10,5
76561198088447673,10,2
deathnz1,10,1
Borne901,10,2
adohya343,10,1
Forty-Nine,10,1
mrpfresh,10,1
GamerFag,10,1
76561198002820828,10,1
76561198007584361,10,1
-GM-Dragon,10,1
76561197962104795,10,1
76561198074257942,10,1
Aaron_ggf,10,1
LightfootSword7,10,1
AddzyTheBaddzy,10,1
76561197997824340,10,1
mradobe7,10,1
aeryal,10,1
76561197968819541,10,1
76561198015968275,10,1
Ricardio556,10,1
WestyGaming,10,2
76561198003056556,10,1
Jupeter117,10,1
altas2011,10,1
AMV72,10,1
Andraison,10,1
76561198039441595,10,1
Apollopepsi,10,1
76561198040530605,10,1
deployablearchnagel,10,1
armouredmarshmallow,10,1
76561198042389215,10,1
ARTHERDUNGER10,10,1
Edmund28,10,1
LaLocaDeLosDulces,10,4
bobjimmy007,10,1
76561198053071988,10,1
iDestrix,10,1
hoarbiscuit,10,1
BAW_Killer,10,1
76561197970168558,10,1
ZUERA12,10,1
76561198010642927,10,1
76561198047208452,10,1
76561197994969639,10,1
JuanManSnipez,10,1
Bennysaputra,10,4
Too_1337,10,1
76561198030636321,10,1
76561198048370750,10,1
CHAAANG,10,1
76561198043296029,10,1
bitmat,10,1
180577,10,1
Barridos,10,2
76561198053775195,10,1
76561197999613236,10,1
76561198055648263,10,1
boogs17,10,1
boydo,10,1
saint556,10,1
xythesis,10,1
76561198040467357,10,1
metiqu,10,1
Vladimirputinisgreatman,10,1
Br0wni3,10,1
76561198088957798,10,1
76561197978008006,10,1
76561198075981950,10,1
C13GE,10,1
C14M8S,10,1
Cabjoy,10,1
calii,10,1
76561197970982479,30,2
doctr,30,3
death-hunter,30,3
76561198100701221,30,3
diego9031,30,3
mimimomoma,30,5
76561197990792016,30,1
AVATAR715,30,1
BURNINGchicken3,30,3
CobRazor,30,1
76561198151645088,30,4
76561198060039459,30,5
76561198088447673,30,3
deathnz1,30,3
mrpfresh,30,5
GamerFag,30,4
-GM-Dragon,30,4
Jupeter117,30,1
76561198034942509,30,4
76561198067188826,30,1
armouredmarshmallow,30,1
76561198053071988,30,2
PolygonCloud,30,5
180577,30,4
Bluegills,30,1
76561197999613236,30,4
saint556,30,2
C13GE,30,2
76561197970982479,300,5
js41637,300,3
Riot-Punch,300,2
doctr,300,4
maplemage,300,3
corrupted_soul,300,3
thequeenpanda,300,2
death-hunter,300,4
Moomfina,300,3
diego9031,300,2
jarrodtrim,300,4
UTNerd24,300,1
sad-commie,300,5
xfluttersx,300,2
Xx-Woods,300,2
Bluezap1,300,3
Sanctus94,300,1
AVATAR715,300,4
76561197994493402,300,1
2d4nk4m3,300,2
EizanAratoFujimaki,300,2
ZyhgarThestarweaver,300,5
76561198088944293,300,4
CobRazor,300,1
76561198069713121,300,1
1337lolroflmao,300,2
76561198151645088,300,3
76561198044169764,300,2
76561198061174192,300,2
Mastic,300,1
deathnz1,300,3
76561198076098774,300,3
iamthetrashlord,300,2
imsojipper,300,1
mrpfresh,300,5
chidori_647,300,2
-GM-Dragon,300,4
diabeticfuck,300,1
Aaron_ggf,300,2
acorn13,300,3
matto1499,300,1
aeryal,300,1
WestyGaming,300,3
76561198036955150,300,1
Jupeter117,300,1
mintifreshbadger,300,2
76561198034942509,300,1
armouredmarshmallow,300,2
ARTHERDUNGER10,300,3
ARZARNAR,300,3
76561198009353440,300,3
Azrafael,300,3
BAW_Killer,300,3
moriceplease,300,2
76561197970168558,300,3
420Blz,300,4
